Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Location,-3763.8 um, 1511.8 um
Length,1071.0 um
Duration,8 sec
Resolution,0.446 um/sample
Force,8.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 1045.1 um Width: 40.0 um
M. Cursor,Pos: 98.2 um Width: 40.0 um

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Ra,112.0 um,40.0 um,10.0 um,40.0 um,1.14 nm
Rq,112.0 um,40.0 um,10.0 um,40.0 um,1.38 nm
ASH,112.0 um,40.0 um,10.0 um,40.0 um,-5.65 nm

Scan Data
Lateral um,Raw Nanometer,
531.9,387.07,,
532.4,387.50,,
532.8,387.65,,
533.3,387.68,,
533.7,387.64,,
534.2,387.47,,
534.6,387.53,,
535.1,387.79,,
535.5,387.89,,
535.9,388.00,,
536.4,388.24,,
536.8,388.33,,
537.3,388.36,,
537.7,388.49,,
538.2,388.66,,
538.6,388.78,,
539.1,388.83,,
539.5,388.70,,
540.0,388.38,,
540.4,388.15,,
540.9,387.93,,
541.3,387.85,,
541.7,387.63,,
542.2,387.48,,
542.6,387.41,,
543.1,387.42,,
543.5,387.37,,
544.0,387.64,,
544.4,387.81,,
544.9,387.86,,
545.3,387.75,,
545.8,387.74,,
546.2,387.59,,
546.7,387.76,,
547.1,387.94,,
547.5,387.69,,
548.0,387.29,,
548.4,387.30,,
548.9,387.39,,
549.3,387.51,,
549.8,387.77,,
550.2,387.94,,
550.7,388.06,,
551.1,388.05,,
551.6,387.95,,
552.0,387.93,,
552.5,387.99,,
552.9,388.01,,
553.4,387.85,,
553.8,387.82,,
554.2,387.70,,
554.7,387.52,,
555.1,387.08,,
555.6,387.00,,
556.0,387.36,,
556.5,387.55,,
556.9,387.50,,
557.4,387.56,,
557.8,387.60,,
558.3,387.55,,
558.7,387.55,,
559.2,387.81,,
559.6,387.86,,
560.0,387.64,,
560.5,387.01,,
560.9,386.46,,
561.4,386.25,,
561.8,386.15,,
562.3,385.97,,
562.7,385.89,,
563.2,385.84,,
563.6,385.91,,
564.1,386.15,,
564.5,386.51,,
565.0,386.57,,
565.4,386.80,,
565.8,387.15,,
566.3,387.31,,
566.7,387.47,,
567.2,387.86,,
567.6,388.04,,
568.1,388.18,,
568.5,388.35,,
569.0,388.52,,
569.4,388.58,,
569.9,388.64,,
570.3,388.60,,
570.8,388.45,,
571.2,388.22,,
571.6,388.02,,
572.1,388.04,,
572.5,388.11,,
573.0,388.19,,
573.4,388.10,,
573.9,388.04,,
574.3,387.91,,
574.8,388.12,,
575.2,388.71,,
575.7,389.15,,
576.1,389.40,,
576.6,389.80,,
577.0,390.06,,
577.4,390.39,,
577.9,390.77,,
578.3,390.64,,
578.8,390.49,,
579.2,390.42,,
579.7,390.28,,
580.1,390.10,,
580.6,390.17,,
581.0,390.09,,
581.5,390.12,,
581.9,390.42,,
582.4,390.44,,
582.8,390.05,,
583.2,389.65,,
583.7,389.19,,
584.1,389.11,,
584.6,389.55,,
585.0,389.81,,
585.5,389.83,,
585.9,389.88,,
586.4,389.84,,
586.8,390.01,,
587.3,390.30,,
587.7,390.72,,
588.2,390.99,,
588.6,390.76,,
589.0,390.33,,
589.5,390.10,,
589.9,389.97,,
590.4,390.13,,
590.8,390.31,,
591.3,390.59,,
591.7,390.50,,
592.2,390.34,,
592.6,390.11,,
593.1,389.78,,
593.5,389.26,,
594.0,388.96,,
594.4,388.86,,
594.9,389.09,,
595.3,389.54,,
595.7,389.82,,
596.2,390.02,,
596.6,390.44,,
597.1,390.87,,
597.5,391.18,,
598.0,391.21,,
598.4,390.99,,
598.9,390.69,,
599.3,390.41,,
599.8,390.10,,
600.2,389.79,,
600.7,389.79,,
601.1,389.79,,
601.5,389.85,,
602.0,390.02,,
602.4,390.21,,
602.9,390.36,,
603.3,390.63,,
603.8,390.68,,
604.2,390.66,,
604.7,390.56,,
605.1,390.28,,
605.6,389.98,,
606.0,389.98,,
606.5,390.09,,
606.9,390.17,,
607.3,390.23,,
607.8,389.76,,
608.2,389.49,,
608.7,389.45,,
609.1,389.11,,
609.6,388.63,,
610.0,388.56,,
610.5,388.54,,
610.9,388.40,,
611.4,388.41,,
611.8,388.50,,
612.3,388.55,,
612.7,388.79,,
613.1,389.10,,
613.6,389.19,,
614.0,389.17,,
614.5,389.05,,
614.9,388.91,,
615.4,388.81,,
615.8,388.61,,
616.3,388.27,,
616.7,387.95,,
617.2,387.87,,
617.6,387.78,,
618.1,387.71,,
618.5,387.81,,
618.9,387.91,,
619.4,387.96,,
619.8,388.04,,
620.3,388.24,,
620.7,388.58,,
621.2,388.93,,
621.6,389.37,,
622.1,389.94,,
622.5,390.03,,
623.0,389.99,,
623.4,390.10,,
623.9,390.28,,
624.3,390.57,,
624.8,390.93,,
625.2,391.06,,
625.6,391.12,,
626.1,391.21,,
626.5,391.18,,
627.0,391.14,,
627.4,391.28,,
627.9,391.36,,
628.3,391.40,,
628.8,391.41,,
629.2,391.25,,
629.7,391.08,,
630.1,391.28,,
630.6,391.32,,
631.0,391.46,,
631.4,391.78,,
631.9,392.00,,
632.3,392.20,,
632.8,392.36,,
633.2,392.27,,
633.7,392.24,,
634.1,392.31,,
634.6,392.28,,
635.0,392.09,,
635.5,391.89,,
635.9,391.41,,
636.4,390.75,,
636.8,390.24,,
637.2,390.08,,
637.7,390.04,,
638.1,390.41,,
638.6,390.57,,
639.0,390.47,,
639.5,390.45,,
639.9,390.70,,
640.4,390.81,,
640.8,390.58,,
641.3,390.10,,
641.7,389.70,,
642.2,389.52,,
642.6,389.24,,
643.0,388.89,,
643.5,388.75,,
643.9,388.85,,
644.4,388.87,,
644.8,388.85,,
645.3,388.62,,
645.7,388.36,,
646.2,388.27,,
646.6,388.11,,
647.1,387.84,,
647.5,387.85,,
648.0,387.81,,
648.4,387.87,,
648.8,387.79,,
649.3,387.50,,
649.7,387.05,,
650.2,386.92,,
650.6,386.81,,
651.1,386.79,,
651.5,386.52,,
652.0,385.87,,
652.4,385.27,,
652.9,385.25,,
653.3,385.37,,
653.8,385.18,,
654.2,384.86,,
654.6,384.49,,
655.1,384.22,,
655.5,384.06,,
656.0,383.75,,
656.4,383.36,,
656.9,383.29,,
657.3,383.35,,
657.8,383.39,,
658.2,383.60,,
658.7,383.47,,
659.1,383.34,,
659.6,383.40,,
660.0,383.21,,
660.4,382.58,,
660.9,382.23,,
661.3,382.05,,
661.8,381.79,,
662.2,381.55,,
662.7,381.33,,
663.1,380.95,,
663.6,380.63,,
664.0,380.36,,
664.5,380.33,,
664.9,380.56,,
665.4,380.68,,
665.8,380.76,,
666.3,380.83,,
666.7,380.77,,
667.1,380.38,,
667.6,380.01,,
668.0,379.73,,
668.5,379.65,,
668.9,379.48,,
669.4,378.99,,
669.8,378.44,,
670.3,378.27,,
670.7,378.21,,
671.2,378.10,,
671.6,378.29,,
672.1,378.47,,
672.5,378.37,,
672.9,378.36,,
673.4,378.03,,
673.8,377.85,,
674.3,378.03,,
674.7,378.21,,
675.2,377.99,,
675.6,378.04,,
676.1,378.28,,
676.5,378.42,,
677.0,378.44,,
677.4,378.33,,
677.9,378.24,,
678.3,378.38,,
678.7,378.53,,
679.2,378.47,,
679.6,378.20,,
680.1,377.94,,
680.5,377.50,,
681.0,377.23,,
681.4,377.20,,
681.9,377.30,,
682.3,377.64,,
682.8,377.89,,
683.2,378.03,,
683.7,378.28,,
684.1,378.45,,
684.5,378.44,,
685.0,378.60,,
685.4,378.71,,
685.9,378.74,,
686.3,379.09,,
686.8,379.40,,
687.2,379.59,,
687.7,379.61,,
688.1,379.31,,
688.6,378.63,,
689.0,378.08,,
689.5,377.52,,
689.9,376.90,,
690.3,376.46,,
690.8,376.17,,
691.2,375.75,,
691.7,375.43,,
692.1,375.05,,
692.6,374.93,,
693.0,375.08,,
693.5,375.43,,
693.9,375.89,,
694.4,376.44,,
694.8,376.69,,
695.3,376.43,,
695.7,376.17,,
696.1,375.94,,
696.6,375.76,,
697.0,375.94,,
697.5,376.11,,
697.9,376.12,,
698.4,376.36,,
698.8,376.57,,
699.3,376.47,,
699.7,376.62,,
700.2,376.94,,
700.6,377.24,,
701.1,377.41,,
701.5,377.52,,
702.0,377.45,,
702.4,377.37,,
702.8,377.27,,
703.3,376.90,,
703.7,376.62,,
704.2,376.43,,
704.6,376.17,,
705.1,376.32,,
705.5,376.71,,
706.0,376.99,,
706.4,377.09,,
706.9,376.81,,
707.3,376.35,,
707.8,376.21,,
708.2,376.39,,
708.6,376.61,,
709.1,376.67,,
709.5,376.84,,
710.0,376.79,,
710.4,376.82,,
710.9,376.83,,
711.3,376.61,,
711.8,376.35,,
712.2,376.25,,
712.7,376.07,,
713.1,375.89,,
713.6,375.86,,
714.0,375.64,,
714.4,375.50,,
714.9,375.35,,
715.3,374.95,,
715.8,374.84,,
716.2,375.02,,
716.7,375.17,,
717.1,375.40,,
717.6,375.63,,
718.0,375.97,,
718.5,376.50,,
718.9,377.10,,
719.4,377.47,,
719.8,377.74,,
720.2,377.66,,
720.7,377.33,,
721.1,376.99,,
721.6,376.74,,
722.0,376.50,,
722.5,376.22,,
722.9,375.77,,
723.4,375.31,,
723.8,375.21,,
724.3,375.50,,
724.7,375.80,,
725.2,376.29,,
725.6,376.69,,
726.0,376.86,,
726.5,376.95,,
726.9,376.89,,
727.4,376.44,,
727.8,376.07,,
728.3,375.76,,
728.7,375.62,,
729.2,375.65,,
729.6,375.60,,
730.1,375.47,,
730.5,375.33,,
731.0,375.04,,
731.4,374.56,,
731.9,374.23,,
732.3,374.00,,
732.7,373.76,,
733.2,373.74,,
733.6,373.74,,
734.1,373.53,,
734.5,373.28,,
735.0,373.19,,
735.4,373.22,,
735.9,373.38,,
736.3,373.28,,
736.8,372.93,,
737.2,372.41,,
737.7,371.71,,
738.1,370.85,,
738.5,370.25,,
739.0,369.86,,
739.4,369.34,,
739.9,368.92,,
740.3,368.40,,
740.8,367.65,,
741.2,367.09,,
741.7,366.59,,
742.1,365.90,,
742.6,365.56,,
743.0,365.49,,
743.5,365.49,,
743.9,365.47,,
744.3,365.58,,
744.8,365.41,,
745.2,365.31,,
745.7,365.21,,
746.1,365.28,,
746.6,365.47,,
747.0,365.97,,
747.5,366.41,,
747.9,366.93,,
748.4,367.40,,
748.8,367.64,,
749.3,367.74,,
749.7,367.70,,
750.1,367.82,,
750.6,368.31,,
751.0,368.88,,
751.5,369.30,,
751.9,369.50,,
752.4,369.57,,
752.8,369.33,,
753.3,369.11,,
753.7,368.87,,
754.2,368.52,,
754.6,368.26,,
755.1,367.98,,
755.5,367.65,,
755.9,367.53,,
756.4,367.71,,
756.8,367.93,,
757.3,368.22,,
757.7,368.33,,
758.2,368.23,,
758.6,368.32,,
759.1,368.25,,
759.5,367.92,,
760.0,367.69,,
760.4,367.33,,
760.9,366.49,,
761.3,365.85,,
761.7,365.54,,
762.2,365.18,,
762.6,364.99,,
763.1,365.14,,
763.5,365.41,,
764.0,365.97,,
764.4,366.58,,
764.9,366.81,,
765.3,366.79,,
765.8,366.65,,
766.2,366.21,,
766.7,365.77,,
767.1,365.34,,
767.5,364.89,,
768.0,364.65,,
768.4,364.40,,
768.9,364.14,,
769.3,364.03,,
769.8,364.04,,
770.2,364.01,,
770.7,363.86,,
771.1,363.85,,
771.6,363.82,,
772.0,363.70,,
772.5,363.37,,
772.9,362.81,,
773.4,362.56,,
773.8,362.72,,
774.2,362.98,,
774.7,363.32,,
775.1,363.44,,
775.6,363.01,,
776.0,362.50,,
776.5,362.21,,
776.9,361.85,,
777.4,361.66,,
777.8,361.74,,
778.3,361.78,,
778.7,361.73,,
779.2,361.81,,
779.6,361.84,,
780.0,361.79,,
780.5,361.58,,
780.9,361.45,,
781.4,361.40,,
781.8,361.47,,
782.3,361.35,,
782.7,361.79,,
783.2,362.47,,
783.6,362.99,,
784.1,363.22,,
784.5,363.36,,
785.0,363.30,,
785.4,363.32,,
785.8,363.18,,
786.3,362.73,,
786.7,362.36,,
787.2,362.26,,
787.6,362.34,,
788.1,362.43,,
788.5,362.38,,
789.0,361.93,,
789.4,361.41,,
789.9,360.79,,
790.3,360.08,,
790.8,359.68,,
791.2,359.59,,
791.6,359.34,,
792.1,358.81,,
792.5,358.25,,
793.0,357.94,,
793.4,358.02,,
793.9,358.33,,
794.3,358.58,,
794.8,358.68,,
795.2,358.59,,
795.7,358.20,,
796.1,357.68,,
796.6,357.05,,
797.0,356.59,,
797.4,356.27,,
797.9,356.23,,
798.3,356.13,,
798.8,356.01,,
799.2,355.65,,
799.7,355.05,,
800.1,354.48,,
800.6,353.98,,
801.0,353.48,,
801.5,353.25,,
801.9,352.81,,
802.4,352.13,,
802.8,351.59,,
803.3,351.25,,
803.7,350.63,,
804.1,350.21,,
804.6,349.97,,
805.0,349.61,,
805.5,349.33,,
805.9,349.37,,
806.4,349.59,,
806.8,350.06,,
807.3,350.59,,
807.7,350.83,,
808.2,350.86,,
808.6,350.72,,
809.1,350.46,,
809.5,350.52,,
809.9,350.81,,
810.4,350.75,,
810.8,350.65,,
811.3,350.91,,
811.7,351.07,,
812.2,351.12,,
812.6,351.52,,
813.1,351.91,,
813.5,352.06,,
814.0,351.97,,
814.4,351.71,,
814.9,351.44,,
815.3,351.25,,
815.7,351.02,,
816.2,350.84,,
816.6,350.84,,
817.1,350.59,,
817.5,350.17,,
818.0,349.82,,
818.4,349.39,,
818.9,349.31,,
819.3,349.99,,
819.8,350.83,,
820.2,351.64,,
820.7,352.49,,
821.1,353.08,,
821.5,353.31,,
822.0,353.24,,
822.4,352.97,,
822.9,352.65,,
823.3,352.12,,
823.8,351.32,,
824.2,350.45,,
824.7,349.57,,
825.1,348.77,,
825.6,348.05,,
826.0,347.39,,
826.5,346.83,,
826.9,346.33,,
827.3,345.59,,
827.8,344.75,,
828.2,344.19,,
828.7,344.13,,
829.1,344.06,,
829.6,343.96,,
830.0,343.97,,
830.5,343.71,,
830.9,343.27,,
831.4,342.88,,
831.8,342.67,,
832.3,342.95,,
832.7,343.53,,
833.1,344.13,,
833.6,344.51,,
834.0,344.44,,
834.5,344.10,,
834.9,343.52,,
835.4,342.97,,
835.8,342.67,,
836.3,342.16,,
836.7,341.44,,
837.2,340.90,,
837.6,340.79,,
838.1,340.87,,
838.5,340.56,,
838.9,340.27,,
839.4,340.19,,
839.8,339.83,,
840.3,339.32,,
840.7,338.90,,
841.2,338.37,,
841.6,337.71,,
842.1,336.75,,
842.5,335.59,,
843.0,334.75,,
843.4,334.31,,
843.9,333.64,,
844.3,332.87,,
844.8,332.53,,
845.2,332.25,,
845.6,331.85,,
846.1,331.58,,
846.5,331.13,,
847.0,330.37,,
847.4,329.97,,
847.9,329.72,,
848.3,329.70,,
848.8,329.95,,
849.2,329.91,,
849.7,329.63,,
850.1,329.29,,
850.6,328.70,,
851.0,328.31,,
851.4,328.12,,
851.9,327.87,,
852.3,327.39,,
852.8,326.84,,
853.2,326.29,,
853.7,325.80,,
854.1,325.72,,
854.6,325.75,,
855.0,325.50,,
855.5,325.10,,
855.9,324.60,,
856.4,323.94,,
856.8,323.26,,
857.2,322.62,,
857.7,322.03,,
858.1,321.50,,
858.6,320.81,,
859.0,320.06,,
859.5,319.58,,
859.9,319.03,,
860.4,318.52,,
860.8,318.17,,
861.3,317.84,,
861.7,317.68,,
862.2,317.67,,
862.6,317.60,,
863.0,317.45,,
863.5,317.42,,
863.9,317.21,,
864.4,317.06,,
864.8,317.32,,
865.3,317.42,,
865.7,317.13,,
866.2,316.92,,
866.6,316.58,,
867.1,316.14,,
867.5,315.67,,
868.0,315.29,,
868.4,315.32,,
868.8,315.46,,
869.3,315.12,,
869.7,314.59,,
870.2,314.24,,
870.6,313.98,,
871.1,313.59,,
871.5,313.01,,
872.0,312.26,,
872.4,311.69,,
872.9,311.19,,
873.3,310.54,,
873.8,309.86,,
874.2,309.16,,
874.6,308.55,,
875.1,307.94,,
875.5,307.49,,
876.0,306.90,,
876.4,306.19,,
876.9,305.72,,
877.3,305.20,,
877.8,304.57,,
878.2,303.93,,
878.7,303.36,,
879.1,302.90,,
879.6,302.61,,
880.0,302.15,,
880.5,301.69,,
880.9,301.14,,
881.3,300.32,,
881.8,299.42,,
882.2,298.69,,
882.7,297.89,,
883.1,297.14,,
883.6,296.87,,
884.0,296.92,,
884.5,296.90,,
884.9,296.79,,
885.4,296.66,,
885.8,296.58,,
886.3,296.41,,
886.7,295.92,,
887.1,295.64,,
887.6,295.74,,
888.0,295.85,,
888.5,295.66,,
888.9,295.29,,
889.4,295.01,,
889.8,294.72,,
890.3,294.51,,
890.7,294.10,,
891.2,293.47,,
891.6,293.08,,
892.1,292.48,,
892.5,291.81,,
892.9,291.65,,
893.4,291.79,,
893.8,291.76,,
894.3,291.25,,
894.7,290.39,,
895.2,289.29,,
895.6,287.95,,
896.1,286.28,,
896.5,284.53,,
897.0,283.02,,
897.4,281.87,,
897.9,280.82,,
898.3,279.77,,
898.7,278.49,,
899.2,276.93,,
899.6,275.56,,
900.1,274.43,,
900.5,273.57,,
901.0,272.78,,
901.4,271.66,,
901.9,270.37,,
902.3,269.43,,
902.8,268.42,,
903.2,267.02,,
903.7,265.67,,
904.1,264.28,,
904.5,262.84,,
905.0,261.34,,
905.4,259.63,,
905.9,257.83,,
906.3,256.11,,
906.8,254.56,,
907.2,253.25,,
907.7,251.86,,
908.1,250.24,,
908.6,248.37,,
909.0,246.53,,
909.5,244.48,,
909.9,242.35,,
910.3,240.29,,
910.8,238.21,,
911.2,236.47,,
911.7,235.15,,
912.1,233.57,,
912.6,231.29,,
913.0,229.07,,
913.5,227.03,,
913.9,225.34,,
914.4,225.34,,
914.8,226.31,,
915.3,227.15,,
915.7,226.63,,
916.2,224.34,,
916.6,221.11,,
917.0,217.71,,
917.5,214.43,,
917.9,211.16,,
918.4,207.95,,
918.8,204.64,,
919.3,201.56,,
919.7,198.83,,
920.2,196.41,,
920.6,194.31,,
921.1,192.80,,
921.5,191.22,,
922.0,189.09,,
922.4,186.67,,
922.8,184.43,,
923.3,182.37,,
923.7,180.65,,
924.2,179.11,,
924.6,177.69,,
925.1,176.38,,
925.5,174.76,,
926.0,172.86,,
926.4,170.86,,
926.9,168.69,,
927.3,166.12,,
927.8,163.55,,
928.2,161.02,,
928.6,158.56,,
929.1,156.36,,
929.5,154.29,,
930.0,151.97,,
930.4,149.45,,
930.9,146.42,,
931.3,142.69,,
931.8,138.57,,
932.2,134.19,,
932.7,129.84,,
933.1,126.09,,
933.6,122.25,,
934.0,118.02,,
934.4,114.02,,
934.9,110.30,,
935.3,106.91,,
935.8,103.89,,
936.2,101.31,,
936.7,99.08,,
937.1,97.61,,
937.6,96.52,,
938.0,95.65,,
938.5,94.79,,
938.9,93.72,,
939.4,92.21,,
939.8,90.54,,
940.2,88.85,,
940.7,87.07,,
941.1,85.52,,
941.6,84.22,,
942.0,82.91,,
942.5,81.45,,
942.9,79.38,,
943.4,76.49,,
943.8,73.43,,
944.3,70.14,,
944.7,66.56,,
945.2,63.32,,
945.6,60.79,,
946.0,58.40,,
946.5,56.01,,
946.9,53.60,,
947.4,51.00,,
947.8,48.56,,
948.3,46.82,,
948.7,45.89,,
949.2,45.69,,
949.6,44.41,,
950.1,41.69,,
950.5,38.06,,
951.0,33.76,,
951.4,29.62,,
951.9,26.29,,
952.3,23.80,,
952.7,21.80,,
953.2,20.06,,
953.6,18.36,,
954.1,17.04,,
954.5,16.33,,
955.0,15.70,,
955.4,14.38,,
955.9,13.08,,
956.3,12.03,,
956.8,11.22,,
957.2,10.92,,
957.7,11.19,,
958.1,11.68,,
958.5,12.23,,
959.0,12.49,,
959.4,12.42,,
959.9,12.17,,
960.3,11.64,,
960.8,11.08,,
961.2,10.76,,
961.7,10.36,,
962.1,9.68,,
962.6,9.21,,
963.0,8.94,,
963.5,8.85,,
963.9,9.59,,
964.3,10.83,,
964.8,11.92,,
965.2,12.16,,
965.7,11.74,,
966.1,11.03,,
966.6,10.09,,
967.0,9.02,,
967.5,8.15,,
967.9,7.33,,
968.4,6.27,,
968.8,5.20,,
969.3,4.59,,
969.7,4.28,,
970.1,3.99,,
970.6,3.49,,
971.0,3.10,,
971.5,3.09,,
971.9,3.54,,
972.4,4.17,,
972.8,4.39,,
973.3,4.70,,
973.7,4.93,,
974.2,4.78,,
974.6,4.43,,
975.1,3.85,,
975.5,3.18,,
975.9,2.90,,
976.4,2.94,,
976.8,2.63,,
977.3,2.13,,
977.7,1.78,,
978.2,1.42,,
978.6,1.28,,
979.1,1.44,,
979.5,1.55,,
980.0,1.61,,
980.4,1.52,,
980.9,1.12,,
981.3,0.81,,
981.8,0.78,,
982.2,0.79,,
982.6,0.55,,
983.1,0.32,,
983.5,0.17,,
984.0,0.27,,
984.4,0.45,,
984.9,0.68,,
985.3,0.97,,
985.8,1.28,,
986.2,1.40,,
986.7,1.46,,
987.1,1.36,,
987.6,0.93,,
988.0,0.58,,
988.4,0.23,,
988.9,-0.12,,
989.3,-0.23,,
989.8,-0.28,,
990.2,-0.45,,
990.7,-0.48,,
991.1,-0.43,,
991.6,-0.46,,
992.0,-0.38,,
992.5,-0.15,,
992.9,0.07,,
993.4,0.12,,
993.8,-0.02,,
994.2,-0.22,,
994.7,-0.33,,
995.1,-0.23,,
995.6,-0.06,,
996.0,0.32,,
996.5,0.79,,
996.9,1.14,,
997.4,1.38,,
997.8,1.46,,
998.3,1.29,,
998.7,1.34,,
999.2,1.22,,
999.6,0.69,,
1000.0,0.18,,
1000.5,-0.32,,
1000.9,-0.67,,
1001.4,-0.55,,
1001.8,-0.40,,
1002.3,-0.47,,
1002.7,-0.72,,
1003.2,-1.01,,
1003.6,-1.50,,
1004.1,-1.64,,
1004.5,-1.51,,
1005.0,-1.58,,
1005.4,-1.63,,
1005.8,-1.52,,
1006.3,-1.78,,
1006.7,-2.03,,
1007.2,-2.04,,
1007.6,-2.15,,
1008.1,-2.07,,
1008.5,-1.70,,
1009.0,-1.17,,
1009.4,-0.74,,
1009.9,-0.82,,
1010.3,-0.81,,
1010.8,-0.36,,
1011.2,0.32,,
1011.6,0.67,,
1012.1,0.87,,
1012.5,1.34,,
1013.0,1.75,,
1013.4,1.85,,
1013.9,1.83,,
1014.3,1.80,,
1014.8,1.85,,
1015.2,1.67,,
1015.7,1.26,,
1016.1,0.90,,
1016.6,0.89,,
1017.0,0.64,,
1017.4,0.22,,
1017.9,-0.29,,
1018.3,-0.34,,
1018.8,0.26,,
1019.2,1.12,,
1019.7,1.41,,
1020.1,1.28,,
1020.6,0.83,,
1021.0,0.13,,
1021.5,-0.32,,
1021.9,-0.41,,
1022.4,-0.46,,
1022.8,-0.33,,
1023.3,-0.19,,
1023.7,-0.30,,
1024.1,-0.52,,
1024.6,-0.61,,
1025.0,-0.71,,
1025.5,-0.53,,
1025.9,-0.05,,
1026.4,0.29,,
1026.8,0.33,,
1027.3,0.46,,
1027.7,0.28,,
1028.2,0.21,,
1028.6,0.43,,
1029.1,0.77,,
1029.5,1.20,,
1029.9,1.68,,
1030.4,1.83,,
1030.8,2.22,,
1031.3,2.75,,
1031.7,2.95,,
1032.2,2.71,,
1032.6,2.36,,
1033.1,2.23,,
1033.5,1.96,,
1034.0,1.36,,
1034.4,0.80,,
1034.9,0.41,,
1035.3,0.25,,
1035.7,0.13,,
1036.2,0.20,,
1036.6,0.20,,
1037.1,0.07,,
1037.5,-0.22,,
1038.0,-0.38,,
1038.4,-0.71,,
1038.9,-0.88,,
1039.3,-0.91,,
1039.8,-1.02,,
1040.2,-1.14,,
1040.7,-1.21,,
1041.1,-1.38,,
1041.5,-1.37,,
1042.0,-1.18,,
1042.4,-1.06,,
1042.9,-1.19,,
1043.3,-1.39,,
1043.8,-1.52,,
1044.2,-1.38,,
1044.7,-1.43,,
1045.1,-1.73,,
1045.6,-2.12,,
1046.0,-2.38,,
1046.5,-2.70,,
1046.9,-2.98,,
1047.3,-3.25,,
1047.8,-3.48,,
1048.2,-3.53,,
1048.7,-3.21,,
1049.1,-2.89,,
1049.6,-2.63,,
1050.0,-2.40,,
1050.5,-2.33,,
1050.9,-2.23,,
1051.4,-1.89,,
1051.8,-1.76,,
1052.3,-1.71,,
1052.7,-2.10,,
1053.1,-2.80,,
1053.6,-3.28,,
1054.0,-3.26,,
1054.5,-2.90,,
1054.9,-2.53,,
1055.4,-2.18,,
1055.8,-2.16,,
1056.3,-2.38,,
1056.7,-2.77,,
1057.2,-3.16,,
1057.6,-3.27,,
1058.1,-3.12,,
1058.5,-3.35,,
1059.0,-3.56,,
1059.4,-3.45,,
1059.8,-3.18,,
1060.3,-2.90,,
1060.7,-2.59,,
1061.2,-2.48,,
1061.6,-2.21,,
1062.1,-1.78,,
1062.5,-1.37,,
1063.0,-0.91,,
1063.4,-0.51,,
1063.9,-0.36,,
1064.3,-0.29,,
1064.8,0.02,,
1065.2,0.08,,
1065.6,0.14,,
1066.1,0.10,,
1066.5,-0.29,,
1067.0,-0.79,,
1067.4,-0.92,,
1067.9,-0.80,,
1068.3,-0.59,,
1068.8,-0.58,,
1069.2,-0.66,,
1069.7,-0.94,,
1070.1,-1.01,,
1070.6,-0.84,,

