Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Location,-3763.8 um, 1511.8 um
Length,1071.0 um
Duration,8 sec
Resolution,0.446 um/sample
Force,8.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 1045.1 um Width: 40.0 um
M. Cursor,Pos: 98.2 um Width: 40.0 um

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Ra,112.0 um,40.0 um,10.0 um,40.0 um,1.14 nm
Rq,112.0 um,40.0 um,10.0 um,40.0 um,1.38 nm
ASH,112.0 um,40.0 um,10.0 um,40.0 um,-5.65 nm

Scan Data
Lateral um,Raw Nanometer,
114.7,0.78,,
115.1,0.34,,
115.6,-0.07,,
116.0,-0.27,,
116.5,0.00,,
116.9,0.48,,
117.4,0.84,,
117.8,1.00,,
118.3,1.04,,
118.7,1.01,,
119.1,1.29,,
119.6,1.70,,
120.0,2.12,,
120.5,2.40,,
120.9,2.60,,
121.4,2.41,,
121.8,2.11,,
122.3,1.63,,
122.7,1.16,,
123.2,0.66,,
123.6,0.34,,
124.1,0.28,,
124.5,0.41,,
124.9,0.61,,
125.4,0.96,,
125.8,1.37,,
126.3,1.80,,
126.7,2.35,,
127.2,2.87,,
127.6,3.00,,
128.1,3.12,,
128.5,2.92,,
129.0,2.66,,
129.4,2.47,,
129.9,2.43,,
130.3,1.95,,
130.8,1.48,,
131.2,1.29,,
131.6,1.31,,
132.1,1.33,,
132.5,1.40,,
133.0,1.45,,
133.4,1.49,,
133.9,1.62,,
134.3,1.60,,
134.8,1.49,,
135.2,1.36,,
135.7,0.89,,
136.1,0.44,,
136.6,0.39,,
137.0,0.65,,
137.4,1.26,,
137.9,1.96,,
138.3,2.34,,
138.8,2.17,,
139.2,2.05,,
139.7,2.12,,
140.1,2.18,,
140.6,2.27,,
141.0,2.35,,
141.5,2.42,,
141.9,2.36,,
142.4,1.93,,
142.8,1.58,,
143.2,1.77,,
143.7,2.26,,
144.1,2.82,,
144.6,3.23,,
145.0,3.23,,
145.5,3.03,,
145.9,2.73,,
146.4,2.42,,
146.8,2.43,,
147.3,2.65,,
147.7,2.71,,
148.2,2.64,,
148.6,2.62,,
149.0,2.41,,
149.5,2.34,,
149.9,2.69,,
150.4,3.17,,
150.8,3.41,,
151.3,3.44,,
151.7,3.20,,
152.2,2.84,,
152.6,2.87,,
153.1,3.10,,
153.5,3.47,,
154.0,3.95,,
154.4,4.04,,
154.8,3.93,,
155.3,3.71,,
155.7,3.18,,
156.2,2.27,,
156.6,1.44,,
157.1,0.94,,
157.5,0.88,,
158.0,1.44,,
158.4,2.08,,
158.9,2.70,,
159.3,3.25,,
159.8,3.51,,
160.2,3.59,,
160.7,3.62,,
161.1,3.54,,
161.5,3.35,,
162.0,3.63,,
162.4,3.97,,
162.9,4.42,,
163.3,5.01,,
163.8,5.52,,
164.2,5.72,,
164.7,5.91,,
165.1,6.08,,
165.6,6.35,,
166.0,6.73,,
166.5,6.93,,
166.9,6.92,,
167.3,6.76,,
167.8,6.27,,
168.2,5.79,,
168.7,5.52,,
169.1,5.53,,
169.6,5.88,,
170.0,6.36,,
170.5,6.35,,
170.9,6.00,,
171.4,5.85,,
171.8,5.69,,
172.3,5.39,,
172.7,5.20,,
173.1,5.13,,
173.6,5.25,,
174.0,5.54,,
174.5,5.74,,
174.9,6.02,,
175.4,6.50,,
175.8,6.79,,
176.3,6.64,,
176.7,6.51,,
177.2,6.42,,
177.6,6.40,,
178.1,6.44,,
178.5,6.40,,
178.9,6.33,,
179.4,6.47,,
179.8,6.44,,
180.3,6.17,,
180.7,6.14,,
181.2,6.42,,
181.6,6.70,,
182.1,6.93,,
182.5,6.91,,
183.0,6.70,,
183.4,6.73,,
183.9,6.88,,
184.3,6.96,,
184.7,7.31,,
185.2,7.77,,
185.6,8.07,,
186.1,8.25,,
186.5,8.40,,
187.0,8.36,,
187.4,8.18,,
