Lateral um,Raw Nanometer
1207.3,42.84
1210.5,46.05
1213.6,45.69
1216.7,44.29
1219.8,41.57
1223.0,38.90
1226.1,36.23
1229.2,34.66
1232.3,32.86
1235.5,31.62
1238.6,29.84
1241.7,28.28
1244.9,26.80
1248.0,25.96
1251.1,25.46
1254.2,25.57
1257.4,25.32
1260.5,25.46
1263.6,25.31
1266.8,24.95
1269.9,24.45
1273.0,19.96
1276.1,22.90
1279.3,35.70
1282.4,56.99
1285.5,77.51
1288.6,91.57
1291.8,88.50
1294.9,83.86
1298.0,74.66
1301.2,68.60
1304.3,60.69
1307.4,55.68
1310.5,49.59
1313.7,45.88
1316.8,40.56
1319.9,37.80
1323.1,33.89
1326.2,32.35
1329.3,30.27
1332.4,30.29
1335.6,28.74
1338.7,28.69
1341.8,27.01
1344.9,26.20
1348.1,24.89
1351.2,25.30
1354.3,24.86
1357.5,28.56
1360.6,29.01
1363.7,29.50
1366.8,28.14
1370.0,27.87
1373.1,26.55
1376.2,26.67
1379.3,25.80
1382.5,26.02
1385.6,25.14
1388.7,25.19
1391.9,24.09
1395.0,24.17
1398.1,23.75
1401.2,24.11
1404.4,23.92
1407.5,23.92
1410.6,23.09
1413.8,23.05
1416.9,22.33
1420.0,22.20
1423.1,21.92
1426.3,22.13
1429.4,22.00
1432.5,22.36
1435.7,22.27
1438.8,22.26
1441.9,21.96
1445.0,22.01
1448.2,21.92
1451.3,22.33
1454.4,22.66
1457.5,22.69
1460.7,22.85
1463.8,22.58
1466.9,22.21
1470.1,22.21
1473.2,22.44
1476.3,22.28
1479.4,22.13
1482.6,21.94
1485.7,21.70
1488.8,21.29
1492.0,21.04
1495.1,20.57
1498.2,20.76
1501.3,20.88
1504.5,21.16
1507.6,20.93
1510.7,20.64
1513.8,19.85
1517.0,19.50
1520.1,19.27
1523.2,19.69
1526.4,20.01
1529.5,20.20
1532.6,19.82
1535.7,19.09
1538.9,18.18
1542.0,17.54
1545.1,17.20
1548.3,17.45
1551.4,17.32
1554.5,17.37
1557.6,17.03
1560.8,16.45
1563.9,15.98
1567.0,15.74
1570.1,15.85
1573.3,15.99
1576.4,16.17
1579.5,16.57
1582.7,17.99
1585.8,20.50
1588.9,46.72
1592.0,202.68
1595.2,601.22
1598.3,1222.49
1601.4,1854.77
1604.6,1995.20
1607.7,2212.94
1610.8,2165.77
1613.9,2064.85
1617.1,1824.64
1620.2,1601.50
1623.3,1280.47
1626.4,979.98
1629.6,667.34
1632.7,432.77
1635.8,286.12
1639.0,197.16
1642.1,138.63
1645.2,96.82
1648.3,72.16
1651.5,51.92
1654.6,41.14
1657.7,30.54
1660.8,26.00
1664.0,22.21
1667.1,26.16
1670.2,30.71
1673.4,31.03
1676.5,30.97
1679.6,28.86
1682.7,27.18
1685.9,24.47
1689.0,23.82
1692.1,22.50
1695.3,21.65
1698.4,20.36
1701.5,19.31
1704.6,20.98
1707.8,22.96
1710.9,23.13
1714.0,22.80
1717.2,22.26
1720.3,21.41
1723.4,21.03
1726.5,19.98
1729.7,18.67
1732.8,17.46
1735.9,16.85
1739.0,15.84
1742.2,15.80
1745.3,15.77
1748.4,15.70
1751.6,15.03
1754.7,14.56
1757.8,13.73
1760.9,13.42
1764.1,13.45
1767.2,13.43
1770.3,13.94
1773.5,14.57
1776.6,14.35
1779.7,14.18
1782.8,13.63
1786.0,13.31
1789.1,13.34
1792.2,14.22
1795.3,14.90
