x,y
856,0.0992
857,0.1038
858,0.0996
859,0.1041
860,0.1081
861,0.1100
862,0.1015
863,0.1104
864,0.1125
865,0.1169
866,0.1049
867,0.1052
868,0.0987
869,0.1030
870,0.1048
871,0.1196
872,0.1260
